name,author,description,old_price,new_price,topic,age,language
彩色的朋友,洪立庭,這是一本關於藝術和人文知識的書籍，涵蓋了文學、音樂、繪畫等各種形式的藝術，以及歷史、哲學、人文學等方面的知識。這本書將豐富讀者的文化修養，啟發思考和創造。,403,322,藝術與人文,10-12歲,正體中文
綠蕃茄‧小奇,張舒婷,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,217,173,綜合活動,10-12歲,正體中文
曬棉被,楊孟綾,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,297,237,綜合活動,7-9歲,正體中文
小麥狂想曲,蔡欣恬,這是一本關於職業規劃和人生發展的書籍，通過啟發人生價值觀和職業規劃，幫助讀者找到人生的方向和目標。這本書將引領讀者探索自我、發現人生意義。,385,308,生涯發展教育,10-12歲,正體中文
冰箱裡的小秘密,賴怡君,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,492,393,綜合活動,7-9歲,正體中文
兔子糖糖尋糖記,戴語彤,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,466,372,綜合活動,7-9歲,正體中文
希望的海螺,顧婕,這是一本關於保護地球和珍惜自然的書籍，通過引人入勝的故事和生動的插圖，向讀者傳達了環境保護的重要性。這本書將啟發讀者愛護地球、珍惜資源，共同建設美好家園。,164,131,環境教育,10-12歲,正體中文
我的家,王耀陞,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,325,260,綜合活動,10-12歲,正體中文
教室裡的大老鼠,邱建倫,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,168,134,綜合活動,10-12歲,正體中文
勇敢的樂樂,鄒佳琪,這是一本關於健康生活和運動鍛煉的書籍，通過介紹健康知識和運動技巧，幫助讀者保持身心健康、提高運動能力。這本書將引導讀者建立健康的生活方式，享受運動的樂趣。,237,189,健康與體育,13-15歲,正體中文
微笑派莉,黃承偉,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,127,101,綜合活動,10-12歲,正體中文
大鼻子按摩師,廖華國,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,478,382,綜合活動,13-15歲,正體中文
泡泡裡的小杰,簡子怡,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,447,357,綜合活動,10-12歲,正體中文
巫婆義大利麵,賴雅汶,這是一本教導讀者如何管理家務、照顧家人的書籍，涵蓋了廚藝、家居清潔、育兒等方面的知識和技巧。這本書將幫助讀者提升生活品質，建立和諧幸福的家庭。,380,304,家政教育,13-15歲,正體中文
那其它的呢？,廖典萱,這是一本關於藝術和人文知識的書籍，涵蓋了文學、音樂、繪畫等各種形式的藝術，以及歷史、哲學、人文學等方面的知識。這本書將豐富讀者的文化修養，啟發思考和創造。,459,367,藝術與人文,10-12歲,正體中文
唉喲喂呀,張瀞文,這是一本關於保護地球和珍惜自然的書籍，通過引人入勝的故事和生動的插圖，向讀者傳達了環境保護的重要性。這本書將啟發讀者愛護地球、珍惜資源，共同建設美好家園。,191,152,環境教育,13-15歲,正體中文
找不到,何宸君,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,291,232,綜合活動,13-15歲,正體中文
回家吧，里琪,周怡,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,203,162,綜合活動,13-15歲,正體中文
我要100分,徐培寧,這是一本關於職業規劃和人生發展的書籍，通過啟發人生價值觀和職業規劃，幫助讀者找到人生的方向和目標。這本書將引領讀者探索自我、發現人生意義。,137,109,生涯發展教育,10-12歲,正體中文
下雨天,張淨媚,這是一本關於日常生活和生活技能的書籍，包括飲食、健康、休閒、旅遊等方面的內容，幫助讀者提高生活品質，享受幸福生活。這本書將帶給讀者實用的生活技巧和快樂的生活態度。,239,191,生活,13-15歲,正體中文
比利的大袋子,黃詩鈞,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,417,333,綜合活動,13-15歲,正體中文
鈕釦在哪裡,陳雅婷,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,138,110,綜合活動,13-15歲,正體中文
回家吧哆哆,蔡念加,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,321,256,綜合活動,13-15歲,正體中文
反倒城,黃國瑋,這是一本關於藝術和人文知識的書籍，涵蓋了文學、音樂、繪畫等各種形式的藝術，以及歷史、哲學、人文學等方面的知識。這本書將豐富讀者的文化修養，啟發思考和創造。,217,173,藝術與人文,10-12歲,正體中文
茉莉甜心,黃禹寧,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,444,355,綜合活動,13-15歲,正體中文
蒂亞的白雲夢,潘杏柔,這是一本關於藝術和人文知識的書籍，涵蓋了文學、音樂、繪畫等各種形式的藝術，以及歷史、哲學、人文學等方面的知識。這本書將豐富讀者的文化修養，啟發思考和創造。,411,328,藝術與人文,13-15歲,正體中文
香草花園,江濰荻,這是一本關於自然界和科技應用的書籍，介紹了自然界的奧秘和科技的創新，啟發讀者對自然和科技的好奇心和探索精神。這本書將讓讀者了解自然界的奇妙和科技的力量，探索未知的世界。,412,329,自然與生活科技,10-12歲,正體中文
白雲‧天空‧彩虹,何宸如,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,335,268,綜合活動,10-12歲,正體中文
花蝶,王俊皓,這是一本關於保護地球和珍惜自然的書籍，通過引人入勝的故事和生動的插圖，向讀者傳達了環境保護的重要性。這本書將啟發讀者愛護地球、珍惜資源，共同建設美好家園。,442,353,環境教育,10-12歲,正體中文
安室和美惠,陳厚伸,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,127,101,綜合活動,10-12歲,正體中文
大嘴瑪麗,方嘉黛,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,317,253,綜合活動,10-12歲,正體中文
小鳥斯比,宋妙恩,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,229,183,綜合活動,10-12歲,正體中文
希望之星,王莓均,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,172,137,綜合活動,10-12歲,正體中文
許願麵包,蔡宜蓁,這是一本關於社會現象和社會問題的書籍，通過觀察和分析社會生活中的各種現象，幫助讀者理解社會運作的規律和變化。這本書將引領讀者思考社會議題、關心社會發展。,241,192,社會,10-12歲,正體中文
花花熊,許哲綸,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,402,321,綜合活動,13-15歲,正體中文
小伯＆小紅傘,陳瑋進,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,411,328,綜合活動,13-15歲,正體中文
小圓的願望,林倖如,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,139,111,綜合活動,10-12歲,正體中文
不幸運的小晴,陳俞君,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,446,356,綜合活動,10-12歲,正體中文
美美的心翅膀,陳翊慈,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,429,343,綜合活動,10-12歲,正體中文
布魯布魯星球,趙姵甄,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,215,172,綜合活動,13-15歲,正體中文
小亨利的尾巴,張敏如,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,133,106,綜合活動,10-12歲,正體中文
牧羊人的心願,盧思勻,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,201,160,綜合活動,10-12歲,正體中文
蠟筆和維維,朱潔歆,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,296,236,綜合活動,10-12歲,正體中文
點子大王,林宜屏,這是一本關於保護地球和珍惜自然的書籍，通過引人入勝的故事和生動的插圖，向讀者傳達了環境保護的重要性。這本書將啟發讀者愛護地球、珍惜資源，共同建設美好家園。,288,230,環境教育,10-12歲,正體中文
森林的守護者,林而均,這是一本關於保護地球和珍惜自然的書籍，通過引人入勝的故事和生動的插圖，向讀者傳達了環境保護的重要性。這本書將啟發讀者愛護地球、珍惜資源，共同建設美好家園。,346,276,環境教育,7-9歲,正體中文
神祕的寶盒,邵于綾,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,268,214,綜合活動,10-12歲,正體中文
是不是忘了誰？,洪綸陽,這是一本關於自然界和科技應用的書籍，介紹了自然界的奧秘和科技的創新，啟發讀者對自然和科技的好奇心和探索精神。這本書將讓讀者了解自然界的奇妙和科技的力量，探索未知的世界。,458,366,自然與生活科技,13-15歲,正體中文
烏鴉與孔雀,施信呈,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,265,212,綜合活動,10-12歲,正體中文
小熊：回不去了？,蔡之釉,這是一本關於保護地球和珍惜自然的書籍，通過引人入勝的故事和生動的插圖，向讀者傳達了環境保護的重要性。這本書將啟發讀者愛護地球、珍惜資源，共同建設美好家園。,147,117,環境教育,7-9歲,正體中文
壞脾氣的蕾蕾,王筠涵,這是一本教導讀者如何管理家務、照顧家人的書籍，涵蓋了廚藝、家居清潔、育兒等方面的知識和技巧。這本書將幫助讀者提升生活品質，建立和諧幸福的家庭。,253,202,家政教育,7-9歲,正體中文
方方兔與圓圓種子,王姵勻,這是一本關於藝術和人文知識的書籍，涵蓋了文學、音樂、繪畫等各種形式的藝術，以及歷史、哲學、人文學等方面的知識。這本書將豐富讀者的文化修養，啟發思考和創造。,270,216,藝術與人文,7-9歲,正體中文
其實不孤單,何祐瑩,這是一本關於社會現象和社會問題的書籍，通過觀察和分析社會生活中的各種現象，幫助讀者理解社會運作的規律和變化。這本書將引領讀者思考社會議題、關心社會發展。,114,91,社會,10-12歲,正體中文
卡里國和得梯國,江家伶,這是一本關於保護地球和珍惜自然的書籍，通過引人入勝的故事和生動的插圖，向讀者傳達了環境保護的重要性。這本書將啟發讀者愛護地球、珍惜資源，共同建設美好家園。,436,348,環境教育,7-9歲,正體中文
背包小男孩─賀比,陳冠霖,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,441,352,綜合活動,7-9歲,正體中文
別破壞我們的家,廖利珠,這是一本關於保護地球和珍惜自然的書籍，通過引人入勝的故事和生動的插圖，向讀者傳達了環境保護的重要性。這本書將啟發讀者愛護地球、珍惜資源，共同建設美好家園。,298,238,環境教育,7-9歲,正體中文
髒兮兮的小綿羊,劉持恩,這是一本關於健康生活和運動鍛煉的書籍，通過介紹健康知識和運動技巧，幫助讀者保持身心健康、提高運動能力。這本書將引導讀者建立健康的生活方式，享受運動的樂趣。,353,282,健康與體育,7-9歲,正體中文
一起來過聖誕節,黃珮嘉,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,132,105,綜合活動,7-9歲,正體中文
美美的壞習慣,賴韋儒,這是一本教導讀者如何管理家務、照顧家人的書籍，涵蓋了廚藝、家居清潔、育兒等方面的知識和技巧。這本書將幫助讀者提升生活品質，建立和諧幸福的家庭。,250,200,家政教育,13-15歲,正體中文
默默擔心的事,林容嘉,這是一本關於社會現象和社會問題的書籍，通過觀察和分析社會生活中的各種現象，幫助讀者理解社會運作的規律和變化。這本書將引領讀者思考社會議題、關心社會發展。,479,383,社會,7-9歲,正體中文
不愛刷牙的東東,施宛怡,這是一本關於健康生活和運動鍛煉的書籍，通過介紹健康知識和運動技巧，幫助讀者保持身心健康、提高運動能力。這本書將引導讀者建立健康的生活方式，享受運動的樂趣。,236,188,健康與體育,7-9歲,正體中文
吃肥皂的貓,李岳諴,這是一本教導讀者如何管理家務、照顧家人的書籍，涵蓋了廚藝、家居清潔、育兒等方面的知識和技巧。這本書將幫助讀者提升生活品質，建立和諧幸福的家庭。,264,211,家政教育,7-9歲,正體中文
不一樣的小多,白家欣,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,453,362,綜合活動,7-9歲,正體中文
巫婆要結婚,孫亦葳,這是一本教導讀者如何管理家務、照顧家人的書籍，涵蓋了廚藝、家居清潔、育兒等方面的知識和技巧。這本書將幫助讀者提升生活品質，建立和諧幸福的家庭。,251,200,家政教育,7-9歲,正體中文
製雲機,陳祉蓉,這是一本關於保護地球和珍惜自然的書籍，通過引人入勝的故事和生動的插圖，向讀者傳達了環境保護的重要性。這本書將啟發讀者愛護地球、珍惜資源，共同建設美好家園。,415,332,環境教育,7-9歲,正體中文
合作分工,游雅筑,這是一本關於日常生活和生活技能的書籍，包括飲食、健康、休閒、旅遊等方面的內容，幫助讀者提高生活品質，享受幸福生活。這本書將帶給讀者實用的生活技巧和快樂的生活態度。,339,271,生活,7-9歲,正體中文
吼！我不要吃飯！,江家伶,這是一本教導讀者如何管理家務、照顧家人的書籍，涵蓋了廚藝、家居清潔、育兒等方面的知識和技巧。這本書將幫助讀者提升生活品質，建立和諧幸福的家庭。,466,372,家政教育,7-9歲,正體中文
逼啵星球爆炸了,劉雨庭,這是一本關於日常生活和生活技能的書籍，包括飲食、健康、休閒、旅遊等方面的內容，幫助讀者提高生活品質，享受幸福生活。這本書將帶給讀者實用的生活技巧和快樂的生活態度。,285,228,生活,7-9歲,正體中文
科克的時光之旅,廖唯翔,這是一本關於保護地球和珍惜自然的書籍，通過引人入勝的故事和生動的插圖，向讀者傳達了環境保護的重要性。這本書將啟發讀者愛護地球、珍惜資源，共同建設美好家園。,388,310,環境教育,7-9歲,正體中文
丹蛋丹蛋,江旻柔,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,452,361,綜合活動,7-9歲,正體中文
回家,李明璇,這是一本教導讀者如何管理家務、照顧家人的書籍，涵蓋了廚藝、家居清潔、育兒等方面的知識和技巧。這本書將幫助讀者提升生活品質，建立和諧幸福的家庭。,397,317,家政教育,7-9歲,正體中文
菲菲飛飛飛,柯慧旻,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,342,273,綜合活動,7-9歲,正體中文
西北雨派對,江濰荻,這是一本關於保護地球和珍惜自然的書籍，通過引人入勝的故事和生動的插圖，向讀者傳達了環境保護的重要性。這本書將啟發讀者愛護地球、珍惜資源，共同建設美好家園。,133,106,環境教育,7-9歲,正體中文
彩虹不見了,沈記如,這是一本關於保護地球和珍惜自然的書籍，通過引人入勝的故事和生動的插圖，向讀者傳達了環境保護的重要性。這本書將啟發讀者愛護地球、珍惜資源，共同建設美好家園。,176,140,環境教育,7-9歲,正體中文
誰才是寶貝,蕭伃秀,這是一本教導讀者如何管理家務、照顧家人的書籍，涵蓋了廚藝、家居清潔、育兒等方面的知識和技巧。這本書將幫助讀者提升生活品質，建立和諧幸福的家庭。,264,211,家政教育,7-9歲,正體中文
光米,吳羽柔,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,185,148,綜合活動,7-9歲,正體中文
小哈利與多尼的約定,楊雨昕,這是一本關於日常生活和生活技能的書籍，包括飲食、健康、休閒、旅遊等方面的內容，幫助讀者提高生活品質，享受幸福生活。這本書將帶給讀者實用的生活技巧和快樂的生活態度。,250,200,生活,7-9歲,正體中文
森林的守護神,施俞如,這是一本關於保護地球和珍惜自然的書籍，通過引人入勝的故事和生動的插圖，向讀者傳達了環境保護的重要性。這本書將啟發讀者愛護地球、珍惜資源，共同建設美好家園。,201,160,環境教育,10-12歲,正體中文
追求夢想,楊美恩,這是一本關於職業規劃和人生發展的書籍，通過啟發人生價值觀和職業規劃，幫助讀者找到人生的方向和目標。這本書將引領讀者探索自我、發現人生意義。,106,84,生涯發展教育,10-12歲,正體中文
回家囉！小妖怪,朱家慶,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,417,333,綜合活動,7-9歲,正體中文
等你的小角落,賴映妤,這是一本教導讀者如何管理家務、照顧家人的書籍，涵蓋了廚藝、家居清潔、育兒等方面的知識和技巧。這本書將幫助讀者提升生活品質，建立和諧幸福的家庭。,255,204,家政教育,10-12歲,正體中文
天空破洞了,郭芷含,這是一本關於保護地球和珍惜自然的書籍，通過引人入勝的故事和生動的插圖，向讀者傳達了環境保護的重要性。這本書將啟發讀者愛護地球、珍惜資源，共同建設美好家園。,132,105,環境教育,7-9歲,正體中文
安安與山上的蝴蝶,鄭普心,這是一本教導讀者如何管理家務、照顧家人的書籍，涵蓋了廚藝、家居清潔、育兒等方面的知識和技巧。這本書將幫助讀者提升生活品質，建立和諧幸福的家庭。,176,140,家政教育,10-12歲,正體中文
你願意改變嗎,張宇彤,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,442,353,綜合活動,7-9歲,正體中文
不吃蔬菜的兔子,胡乃云,這是一本教導讀者如何管理家務、照顧家人的書籍，涵蓋了廚藝、家居清潔、育兒等方面的知識和技巧。這本書將幫助讀者提升生活品質，建立和諧幸福的家庭。,499,399,家政教育,7-9歲,正體中文
我好醜，但我喜歡自己,王映璇,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,335,268,綜合活動,7-9歲,正體中文
咦──怎麼有個舊皮箱？,吳孟儒,這是一本關於職業規劃和人生發展的書籍，通過啟發人生價值觀和職業規劃，幫助讀者找到人生的方向和目標。這本書將引領讀者探索自我、發現人生意義。,162,129,生涯發展教育,10-12歲,正體中文
